code,transactionDate,barcode,productName,quantity,price,discountPercent,discountAmount,cashAmount,transferAmount,bankName,paymentStatus
2bf1c872,2024-10-10 12:56:03,GF64143,CELANA MASIMO TIZZUE 4770,1,125000,0,0,125000,0,0,PAID
786c0a3a,2024-10-10 12:59:13,GF38783,FIONA ONESET PUTIH KUNING 5,1,155000,0,0,155000,0,0,PAID
a8d3fb1b,2024-10-10 13:07:46,GF83170,Daster LOWO,2,74000,0,0,74000,0,0,PAID
553f9488,2024-10-10 13:09:40,GF91958,Daster OB LOWO,1,50000,0,0,50000,0,0,PAID
48910484,2024-10-10 13:29:26,GF23620,KAOS ANAK COWOK CAMPUR AZK 50,1,50000,0,0,50000,0,0,PAID
1d103385,2024-10-10 13:35:08,GF1051,Gamis Lenesta 555.119.7,1,195000,0,0,195000,0,0,PAID
3e2cd4fd,2024-10-10 14:31:55,GF23620,KAOS ANAK COWOK CAMPUR AZK 50,1,50000,0,0,50000,0,0,PAID
47eef3f6,2024-10-10 14:34:11,GF2229,KEMEJA PUTIH TIZZUE 8346,1,110000,0,0,0,110000,BCA,PAID
9751b5f3,2024-10-10 15:04:11,GF75670,KEMEJA TIZZUE 2149,1,140000,0,0,265000,0,0,PAID
9751b5f3,2024-10-10 15:04:11,GF64143,CELANA MASIMO TIZZUE 4770,1,125000,0,0,265000,0,0,PAID
92d09de5,2024-10-10 15:07:44,GF42452,ROK CARGO TIZZUE 8319,1,140000,0,0,275000,0,0,PAID
92d09de5,2024-10-10 15:07:44,GF34397,KEMEJA METISSA 046,1,135000,0,0,275000,0,0,PAID
37579135,2024-10-10 16:28:26,GF15126,FIONA ONE SET ANAK CEWEK 60,1,90000,0,0,0,180000,BRI,PAID
37579135,2024-10-10 16:28:26,GF15126,FIONA ONE SET ANAK CEWEK 60,1,90000,0,0,0,180000,BRI,PAID
98f44308,2024-10-10 16:42:31,GF75631,Gamis dior zahra songket,1,240000,0,0,240000,0,0,PAID
a7d8f6cd,2024-10-10 17:02:06,GF26804,FIONA STELAN ROK POLOS 4,1,160000,0,0,160000,0,0,PAID
2fbf7ad5,2024-10-10 17:12:29,GF24747,KEMEJA METISSA 2813 ZW,1,150000,0,0,150000,0,0,PAID
4b1168c0,2024-10-10 17:30:36,GF91958,Daster OB LOWO,1,50000,0,0,50000,0,0,PAID
5c721798,2024-10-10 17:33:20,GF34397,KEMEJA METISSA 046,1,135000,0,0,525000,0,0,PAID
5c721798,2024-10-10 17:33:20,GF13616,KEMEJA TIZZUE 2216,1,150000,0,0,525000,0,0,PAID
5c721798,2024-10-10 17:33:20,GF44630,CELANA JEANS XTN CARGO FASH 34/39,1,240000,0,0,525000,0,0,PAID
8b162713,2024-10-10 17:51:24,GF75739,KEMEJA TIZZUE 2113,1,140000,0,0,140000,0,0,PAID
736230c4,2024-10-10 17:55:22,GF7496,FIONA ONESET KOREA 21739,1,165000,0,0,165000,0,0,PAID
240723ad,2024-10-10 18:18:19,GF23620,KAOS ANAK COWOK CAMPUR AZK 50,1,50000,0,0,50000,0,0,PAID
23bec186,2024-10-10 19:57:06,GF79134,Kemeja TIZZUE 2226,1,140000,0,0,290000,0,0,PAID
23bec186,2024-10-10 19:57:06,GF10167,KEMEJA TUNIK TIZZUE 2155,1,150000,0,0,290000,0,0,PAID
f8625b28,2024-10-10 19:58:39,GF22040,Daster Chibi,1,74000,0,0,184000,0,0,PAID
f8625b28,2024-10-10 19:58:39,GF75358,Daster Salire JUMBO,1,110000,0,0,184000,0,0,PAID
f69a22ab,2024-10-10 20:17:30,GF4084,KAOS ANAK COWOK AZK 7,1,50000,0,0,110000,0,0,PAID
f69a22ab,2024-10-10 20:17:30,GF57132,KAOS DONJUAN UK XXL BELIEVE,1,60000,0,0,110000,0,0,PAID
4b8904bc,2024-10-10 20:19:28,GF67720,Gamis Lenesta CR.759-1,1,250000,0,0,320000,0,0,PAID
4b8904bc,2024-10-10 20:19:28,GF54004,CELANA CACHE TIZZUE,1,70000,0,0,320000,0,0,PAID
e93a1e26,2024-10-10 21:17:50,GF50327,KAOS SET CELANA ANAK COWOK AZK,1,50000,0,0,50000,0,0,PAID
5cee7a52,2024-10-10 21:46:50,GF48430,KAOS PRINTING WARNA UK L,2,60000,0,0,60000,0,0,PAID
29a7189d,2024-10-11 11:15:19,GF65327,DRESS ANAK CEWEK AZK 30,1,50000,0,0,50000,0,0,PAID
5d7a705e,2024-10-11 11:23:13,GF23384,KEMEJA ANAK LAKI LAKI AZK 96,1,50000,0,0,50000,0,0,PAID
8253684d,2024-10-11 11:54:02,GF89524,KAOS ANAK COWOK,1,30000,0,0,60000,0,0,PAID
8253684d,2024-10-11 11:54:02,GF89524,KAOS ANAK COWOK,1,30000,0,0,60000,0,0,PAID
92eb0b62,2024-10-11 12:02:16,GF98593,CELANA TIZZUE 4781,1,130000,0,0,130000,0,0,PAID
64a66fd9,2024-10-11 12:23:10,GF20513,Daster DS Ibu OB,1,40000,0,0,40000,0,0,PAID
0e8cdc41,2024-10-11 12:50:27,GF13008,KEMEJA METISSA SALUR 8125,1,135000,0,0,135000,0,0,PAID
46696dc0,2024-10-11 13:49:28,GF50327,KAOS SET CELANA ANAK COWOK AZK,1,50000,0,0,100000,0,0,PAID
46696dc0,2024-10-11 13:49:28,GF50327,KAOS SET CELANA ANAK COWOK AZK,1,50000,0,0,100000,0,0,PAID
abe935d1,2024-10-11 13:51:12,GF89524,KAOS ANAK COWOK,1,30000,0,0,30000,0,0,PAID
b99fd5a2,2024-10-11 13:52:25,GF89524,KAOS ANAK COWOK,1,30000,0,0,30000,0,0,PAID
b711a548,2024-10-11 13:53:42,GF84818,KAOS SET CELANA ANAK CEWEK AZK 10,1,50000,0,0,50000,0,0,PAID
ff60ba3b,2024-10-11 14:10:21,GF20513,Daster DS Ibu OB,1,40000,0,0,80000,0,0,PAID
ff60ba3b,2024-10-11 14:10:21,GF20513,Daster DS Ibu OB,1,40000,0,0,80000,0,0,PAID
b07ad346,2024-10-11 15:01:11,GF86974,KAOS ANAK CAMPUR AZK 9,1,50000,0,5000,90000,0,0,PAID
b07ad346,2024-10-11 15:01:11,GF86974,KAOS ANAK CAMPUR AZK 9,1,50000,0,5000,90000,0,0,PAID
